Project ID,Project Name,Project Type,Start Date,End Date,Project Status,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Progress
P001,Renovation of a School Project 001,Renovation,21/07/2024,08/08/2024,Behind,Medium,T001,Task 001 of Renovation of a School Project 001,In Progress,Bob,12,0.24
P001,Renovation of a School Project 001,Renovation,21/07/2024,12/08/2024,Behind,High,T002,Task 002 of Renovation of a School Project 001,In Progress,Charlie,4,0.56
P001,Renovation of a School Project 001,Renovation,21/07/2024,10/08/2024,Behind,High,T003,Task 003 of Renovation of a School Project 001,Completed,Charlie,5,1.0
P002,Innovation of a Classroom Project 002,Innovation,04/06/2024,12/07/2025,On Track,High,T001,Task 001 of Innovation of a Classroom Project 002,Pending,Charlie,24,0.33
P002,Innovation of a Classroom Project 002,Innovation,04/06/2024,26/06/2025,On Track,Medium,T002,Task 002 of Innovation of a Classroom Project 002,Pending,Charlie,26,0.32
P002,Innovation of a Classroom Project 002,Innovation,04/06/2024,25/03/2025,On Track,Low,T003,Task 003 of Innovation of a Classroom Project 002,In Progress,Alice,28,0.29
P003,Construction of a Hospital Wing Project 003,Construction,20/07/2024,22/08/2024,Completed,Low,T001,Task 001 of Construction of a Hospital Wing Project 003,Completed,Grace,7,1.0
P003,Construction of a Hospital Wing Project 003,Construction,20/07/2024,25/09/2024,Completed,Medium,T002,Task 002 of Construction of a Hospital Wing Project 003,Completed,Frank,23,1.0
P003,Construction of a Hospital Wing Project 003,Construction,20/07/2024,22/08/2024,Completed,Medium,T003,Task 003 of Construction of a Hospital Wing Project 003,Completed,Grace,13,1.0
P004,Road Expansion Project 004,Infrastructure,25/04/2024,06/05/2024,Completed,Medium,T001,Task 001 of Road Expansion Project 004,Completed,Frank,28,1.0
P004,Road Expansion Project 004,Infrastructure,25/04/2024,05/05/2024,Completed,High,T002,Task 002 of Road Expansion Project 004,In Progress,Charlie,26,0.99
P004,Road Expansion Project 004,Infrastructure,25/04/2024,10/05/2024,Completed,Medium,T003,Task 003 of Road Expansion Project 004,Pending,Charlie,18,0.74
P005,Bridge Maintenance Project 005,Maintenance,30/06/2024,31/07/2025,Behind,Medium,T001,Task 001 of Bridge Maintenance Project 005,Pending,Charlie,18,0.78
P005,Bridge Maintenance Project 005,Maintenance,30/06/2024,02/08/2024,Behind,Medium,T002,Task 002 of Bridge Maintenance Project 005,Completed,Frank,7,1.0
P005,Bridge Maintenance Project 005,Maintenance,30/06/2024,30/06/2025,Behind,High,T003,Task 003 of Bridge Maintenance Project 005,Pending,Grace,0,0.04
P006,Office Building Renovation Project 006,Renovation,09/08/2024,11/09/2024,Behind,Low,T001,Task 001 of Office Building Renovation Project 006,Completed,Alice,9,1.0
P006,Office Building Renovation Project 006,Renovation,09/08/2024,11/09/2024,Behind,Medium,T002,Task 002 of Office Building Renovation Project 006,Completed,Frank,40,1.0
P006,Office Building Renovation Project 006,Renovation,09/08/2024,20/02/2025,Behind,High,T003,Task 003 of Office Building Renovation Project 006,In Progress,Charlie,40,0.07
P007,Apartment Complex Development Project 007,Other,06/08/2024,17/11/2024,On Track,High,T001,Task 001 of Apartment Complex Development Project 007,Pending,Ivy,32,0.62
P007,Apartment Complex Development Project 007,Other,06/08/2024,29/11/2024,On Track,Medium,T002,Task 002 of Apartment Complex Development Project 007,Pending,Grace,25,0.85
P007,Apartment Complex Development Project 007,Other,06/08/2024,17/11/2024,On Track,Low,T003,Task 003 of Apartment Complex Development Project 007,Pending,Ivy,10,0.92
P008,Commercial Center Construction Project 008,Construction,17/04/2024,13/09/2024,On Track,Medium,T001,Task 001 of Commercial Center Construction Project 008,Pending,Alice,17,0.59
P008,Commercial Center Construction Project 008,Construction,17/04/2024,05/11/2024,On Track,Low,T002,Task 002 of Commercial Center Construction Project 008,Pending,Charlie,21,0.26
P008,Commercial Center Construction Project 008,Construction,17/04/2024,19/10/2024,On Track,High,T003,Task 003 of Commercial Center Construction Project 008,Pending,Charlie,7,0.45
P009,Highway Reconstruction Project 009,Other,27/04/2024,28/04/2025,On Hold,High,T001,Task 001 of Highway Reconstruction Project 009,Pending,Charlie,35,0.36
P009,Highway Reconstruction Project 009,Other,27/04/2024,01/06/2025,On Hold,Medium,T002,Task 002 of Highway Reconstruction Project 009,Pending,Ivy,2,0.88
P009,Highway Reconstruction Project 009,Other,27/04/2024,26/05/2025,On Hold,Low,T003,Task 003 of Highway Reconstruction Project 009,Pending,Charlie,26,0.97
P010,Airport Expansion Project 010,Other,14/02/2024,15/06/2024,On Track,High,T001,Task 001 of Airport Expansion Project 010,Pending,Grace,32,0.1
P010,Airport Expansion Project 010,Other,14/02/2024,08/06/2024,On Track,High,T002,Task 002 of Airport Expansion Project 010,Pending,Alice,16,0.7
P010,Airport Expansion Project 010,Other,14/02/2024,26/05/2024,On Track,Low,T003,Task 003 of Airport Expansion Project 010,Pending,Charlie,11,0.6
P011,Shopping Mall Renovation Project 011,Renovation,08/05/2024,28/07/2024,Completed,High,T001,Task 001 of Shopping Mall Renovation Project 011,In Progress,Eve,15,0.64
P011,Shopping Mall Renovation Project 011,Renovation,08/05/2024,19/08/2024,Completed,High,T002,Task 002 of Shopping Mall Renovation Project 011,In Progress,Eve,40,0.44
P011,Shopping Mall Renovation Project 011,Renovation,08/05/2024,01/08/2024,Completed,High,T003,Task 003 of Shopping Mall Renovation Project 011,Pending,Alice,1,0.02
P012,University Dormitory Construction Project 012,Construction,27/01/2024,29/02/2024,Completed,High,T001,Task 001 of University Dormitory Construction Project 012,Completed,Frank,15,1.0
P012,University Dormitory Construction Project 012,Construction,27/01/2024,29/02/2024,Completed,High,T002,Task 002 of University Dormitory Construction Project 012,Completed,Bob,40,1.0
P012,University Dormitory Construction Project 012,Construction,27/01/2024,27/06/2025,Completed,Medium,T003,Task 003 of University Dormitory Construction Project 012,Pending,Alice,18,0.98
P013,Sports Stadium Upgrade Project 013,Other,09/02/2024,24/08/2024,On Hold,Medium,T001,Task 001 of Sports Stadium Upgrade Project 013,Completed,Alice,12,1.0
P013,Sports Stadium Upgrade Project 013,Other,09/02/2024,06/07/2024,On Hold,Medium,T002,Task 002 of Sports Stadium Upgrade Project 013,In Progress,Bob,38,0.28
P013,Sports Stadium Upgrade Project 013,Other,09/02/2024,28/07/2024,On Hold,Medium,T003,Task 003 of Sports Stadium Upgrade Project 013,In Progress,Alice,6,0.55
P014,Public Library Renovation Project 014,Renovation,30/07/2024,20/12/2024,Behind,Low,T001,Task 001 of Public Library Renovation Project 014,In Progress,Grace,31,0.1
P014,Public Library Renovation Project 014,Renovation,30/07/2024,30/01/2025,Behind,Low,T002,Task 002 of Public Library Renovation Project 014,Pending,Charlie,8,0.82
P014,Public Library Renovation Project 014,Renovation,30/07/2024,29/12/2024,Behind,Medium,T003,Task 003 of Public Library Renovation Project 014,Pending,Charlie,6,0.22
P015,Building a Park Project 015,Other,17/03/2024,19/04/2024,On Hold,High,T001,Task 001 of Building a Park Project 015,Completed,Ivy,8,1.0
P015,Building a Park Project 015,Other,17/03/2024,19/04/2024,On Hold,Medium,T002,Task 002 of Building a Park Project 015,Completed,Charlie,4,1.0
P015,Building a Park Project 015,Other,17/03/2024,19/04/2024,On Hold,High,T003,Task 003 of Building a Park Project 015,Completed,Bob,22,1.0
P016,Renovation of a School Project 016,Renovation,18/02/2024,25/09/2024,Completed,Medium,T001,Task 001 of Renovation of a School Project 016,Completed,Bob,5,1.0
P016,Renovation of a School Project 016,Renovation,18/02/2024,22/10/2024,Completed,High,T002,Task 002 of Renovation of a School Project 016,Pending,Eve,27,0.38
P016,Renovation of a School Project 016,Renovation,18/02/2024,15/09/2024,Completed,Medium,T003,Task 003 of Renovation of a School Project 016,Pending,Eve,25,0.55
P017,Innovation of a Classroom Project 017,Innovation,02/04/2024,25/10/2024,On Track,Low,T001,Task 001 of Innovation of a Classroom Project 017,Pending,Eve,40,0.87
P017,Innovation of a Classroom Project 017,Innovation,02/04/2024,23/09/2024,On Track,High,T002,Task 002 of Innovation of a Classroom Project 017,Completed,Charlie,34,1.0
P017,Innovation of a Classroom Project 017,Innovation,02/04/2024,14/10/2024,On Track,High,T003,Task 003 of Innovation of a Classroom Project 017,In Progress,Alice,18,0.62
P018,Construction of a Hospital Wing Project 018,Construction,09/02/2024,05/03/2024,Behind,Medium,T001,Task 001 of Construction of a Hospital Wing Project 018,In Progress,Grace,26,0.66
P018,Construction of a Hospital Wing Project 018,Construction,09/02/2024,01/03/2024,Behind,Medium,T002,Task 002 of Construction of a Hospital Wing Project 018,In Progress,Grace,37,0.54
P018,Construction of a Hospital Wing Project 018,Construction,09/02/2024,25/02/2024,Behind,Medium,T003,Task 003 of Construction of a Hospital Wing Project 018,Pending,Grace,7,0.2
P019,Road Expansion Project 019,Infrastructure,10/06/2024,30/12/2024,Behind,High,T001,Task 001 of Road Expansion Project 019,Pending,Grace,11,0.61
P019,Road Expansion Project 019,Infrastructure,10/06/2024,25/09/2024,Behind,Medium,T002,Task 002 of Road Expansion Project 019,Completed,Ivy,1,1.0
P019,Road Expansion Project 019,Infrastructure,10/06/2024,24/12/2024,Behind,Medium,T003,Task 003 of Road Expansion Project 019,Pending,Charlie,13,0.46
P020,Bridge Maintenance Project 020,Maintenance,10/04/2024,03/07/2024,Completed,Medium,T001,Task 001 of Bridge Maintenance Project 020,Completed,Eve,18,1.0
P020,Bridge Maintenance Project 020,Maintenance,10/04/2024,02/08/2024,Completed,High,T002,Task 002 of Bridge Maintenance Project 020,In Progress,Grace,36,0.84
P020,Bridge Maintenance Project 020,Maintenance,10/04/2024,02/07/2024,Completed,High,T003,Task 003 of Bridge Maintenance Project 020,Pending,Grace,24,0.11
P021,Office Building Renovation Project 021,Renovation,21/03/2024,15/12/2024,Behind,High,T001,Task 001 of Office Building Renovation Project 021,In Progress,Alice,26,0.43
P021,Office Building Renovation Project 021,Renovation,21/03/2024,25/09/2024,Behind,High,T002,Task 002 of Office Building Renovation Project 021,Completed,Frank,21,1.0
P021,Office Building Renovation Project 021,Renovation,21/03/2024,20/09/2024,Behind,High,T003,Task 003 of Office Building Renovation Project 021,Completed,Ivy,15,1.0
